_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
220645,220672,EY24924,56,AIRDRIE RD,HEATHER RD EAST YORK,BESSBOROUGH DR,,0,10,,15,Syringa reticulata,"Lilac, Japanese",26,"{""type"": ""Point"", ""coordinates"": [-79.3704871191705, 43.7003768139091]}"
220753,220780,EY9641,57,HOLBORNE AVE,BINSWOOD AVE,GLEBEMOUNT AVE,,0,30,,19,Syringa,Lilac,12,"{""type"": ""Point"", ""coordinates"": [-79.3231486184675, 43.6934371944478]}"
220957,220984,EY5998,52,FLEMING CRES,PARKHURST BLVD,DONEGALL DR,,0,10,,15,Pinus sylvestris,Pine scots,29,"{""type"": ""Point"", ""coordinates"": [-79.3740043446153, 43.7093535750407]}"
221016,221043,EY14763,133,GAMBLE AVE,PAPE AVE,,,0,5,,14,Picea pungens,"Spruce, Colorado blue",35,"{""type"": ""Point"", ""coordinates"": [-79.3479607697199, 43.690334750488]}"
221509,221536,EY10976,78,PARKVIEW HILL CRES,STINSON CRCL,WELBY CRCL,,0,20,,19,Taxus,Yew,70,"{""type"": ""Point"", ""coordinates"": [-79.3296633242743, 43.7043353546902]}"
221512,221539,EY10403,48,PRESTEIGN AVE,KATHLEEN AVE,HACKBERRY ST,,0,40,,19,Taxus,Yew,0,"{""type"": ""Point"", ""coordinates"": [-79.3208367843537, 43.7066778807117]}"
221712,221739,EY12801,77,CADORNA AVE,COSBURN AVE,PLAINS RD,,0,10,,14,Acer platanoides,"Maple, Norway",50,"{""type"": ""Point"", ""coordinates"": [-79.3400092919979, 43.6927166309612]}"
221952,221979,EY13750,75,ROSEVEAR AVE,DAWES RD,AVONLEA BLVD,,0,10,,19,Morus,Mulberry,20,"{""type"": ""Point"", ""coordinates"": [-79.2962782700497, 43.6930895882781]}"
222066,222093,EY4976,1,GOVERNOR'S RD,GOVERNORS BDGE,DOUGLAS CRES,,0,30,,11,Pinus,Pine,0,"{""type"": ""Point"", ""coordinates"": [-79.3679367622879, 43.6908033746204]}"
222088,222115,EY21940,155,COLERIDGE AVE,SAMMON AVE,LUMSDEN AVE,,0,20,,19,Acer platanoides,"Maple, Norway",0,"{""type"": ""Point"", ""coordinates"": [-79.3140465277542, 43.6914871387952]}"
